"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
171,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","335",3,3,,,,
172,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","102",3,3,,,,
173,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","313",3,3,,,,
174,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","319",3,3,,,,
175,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","273",3,2,,,,
176,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","305",3,3,,,,
177,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","11",4,3,,,,
178,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","307",4,3,,,,
179,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","353",4,4,,,,
180,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","226",4,1,,,,
181,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","150",4,1,,,,
182,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","401",4,2,,,,
183,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","227",4,2,,,,
184,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","368",4,4,,,,
185,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","406",4,3,,,,
186,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","375",4,4,,,,
187,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","369",4,4,,,,
188,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","8",4,1,,,,
189,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","346",4,4,,,,
190,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","354",4,4,,,,
191,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","229",4,2,,,,
192,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","66",4,1,,,,
193,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","387",4,4,,,,
194,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","392",4,4,,,,
195,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","179",4,1,,,,
196,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","206",4,1,,,,
